Date,Open*,High,Low,Close,Volume,Market Cap
"Sep 22, 2020",$4.99,$11.46,$4.13,$5.23,"$288,098,840","$128,248,483"
"Sep 23, 2020",$5.32,$5.33,$3.98,$4.12,"$173,091,214","$100,902,481"
"Sep 24, 2020",$3.82,$4.75,$3.54,$4.57,"$96,110,964","$111,880,746"
"Sep 25, 2020",$4.61,$4.96,$4.24,$4.71,"$55,854,397","$115,450,840"
"Sep 26, 2020",$4.71,$4.82,$4.38,$4.54,"$27,304,546","$111,211,590"
"Sep 27, 2020",$4.54,$4.70,$4.14,$4.63,"$23,243,192","$113,325,621"
"Sep 28, 2020",$4.64,$4.64,$4.20,$4.20,"$20,624,310","$103,017,677"
"Sep 29, 2020",$4.21,$4.28,$3.97,$4.14,"$16,706,917","$101,502,296"
"Sep 30, 2020",$4.14,$4.39,$4.02,$4.32,"$16,932,876","$105,902,383"
"Oct 01, 2020",$4.32,$4.49,$4.06,$4.15,"$23,903,201","$101,701,709"
"Oct 02, 2020",$4.15,$4.21,$3.69,$3.93,"$30,467,406","$96,215,332"
"Oct 03, 2020",$3.93,$4.17,$3.88,$4.02,"$11,967,394","$98,530,659"
"Oct 04, 2020",$4.02,$4.07,$3.86,$3.96,"$12,949,575","$97,047,186"
"Oct 05, 2020",$3.96,$4.04,$3.89,$3.98,"$8,980,051","$97,461,487"
"Oct 06, 2020",$3.98,$3.98,$3.52,$3.54,"$15,048,998","$86,672,616"
"Oct 07, 2020",$3.54,$3.54,$3.23,$3.45,"$15,674,566","$84,447,047"
"Oct 08, 2020",$3.45,$3.93,$3.34,$3.90,"$15,215,458","$95,654,837"
"Oct 09, 2020",$3.91,$4.28,$3.82,$4.24,"$13,043,373","$103,764,968"
"Oct 10, 2020",$4.24,$4.25,$4.02,$4.03,"$14,539,711","$98,654,260"
"Oct 11, 2020",$4.02,$4.16,$3.97,$4.10,"$11,454,885","$100,349,044"
"Oct 12, 2020",$4.09,$4.69,$4.05,$4.42,"$14,445,437","$108,185,624"
"Oct 13, 2020",$4.41,$4.54,$4.33,$4.49,"$14,050,398","$109,957,318"
"Oct 14, 2020",$4.48,$4.49,$4.02,$4.15,"$10,004,481","$101,676,367"
"Oct 15, 2020",$4.15,$4.21,$4.02,$4.13,"$6,998,970","$101,120,150"
"Oct 16, 2020",$4.13,$4.16,$3.89,$4.04,"$9,790,610","$98,991,766"
"Oct 17, 2020",$4.04,$4.20,$3.98,$4.20,"$6,113,717","$102,802,213"
"Oct 18, 2020",$4.19,$4.25,$4.08,$4.12,"$3,717,531","$100,843,509"
"Oct 19, 2020",$4.12,$4.16,$4.00,$4.05,"$5,848,392","$99,232,631"
"Oct 20, 2020",$4.05,$4.08,$3.71,$3.80,"$19,646,467","$93,153,936"
"Oct 21, 2020",$3.80,$4.11,$3.79,$3.97,"$23,475,819","$97,165,987"
"Oct 22, 2020",$3.97,$4.50,$3.96,$4.31,"$24,178,361","$105,703,311"
"Oct 23, 2020",$4.33,$4.49,$4.15,$4.26,"$19,482,074","$104,421,592"
"Oct 24, 2020",$4.26,$4.35,$4.16,$4.19,"$16,681,037","$102,647,638"
"Oct 25, 2020",$4.19,$4.26,$4.11,$4.15,"$15,517,939","$101,753,649"
"Oct 26, 2020",$4.15,$4.48,$4.05,$4.16,"$9,243,755","$101,943,837"
"Oct 27, 2020",$4.16,$4.35,$4.04,$4.12,"$17,600,881","$100,994,954"
"Oct 28, 2020",$4.12,$4.18,$3.94,$4.07,"$19,435,211","$99,631,856"
"Oct 29, 2020",$4.07,$4.11,$3.73,$3.78,"$6,527,859","$92,495,145"
"Oct 30, 2020",$3.78,$3.82,$3.58,$3.71,"$28,434,550","$91,015,971"
"Oct 31, 2020",$3.71,$3.74,$3.59,$3.65,"$20,452,535","$89,385,018"
"Nov 01, 2020",$3.65,$3.72,$3.56,$3.68,"$15,953,277","$90,225,258"
"Nov 02, 2020",$3.68,$3.85,$3.61,$3.62,"$20,039,697","$88,785,916"
"Nov 03, 2020",$3.62,$3.66,$3.24,$3.33,"$24,573,095","$81,652,300"
"Nov 04, 2020",$3.33,$3.38,$3.00,$3.18,"$20,709,819","$78,023,509"
"Nov 05, 2020",$3.18,$3.38,$3.02,$3.36,"$26,135,754","$82,276,016"
"Nov 06, 2020",$3.36,$3.65,$3.32,$3.60,"$33,947,029","$88,084,417"
"Nov 07, 2020",$3.60,$3.91,$3.38,$3.40,"$34,653,203","$83,383,503"
"Nov 08, 2020",$3.40,$3.65,$3.37,$3.48,"$26,072,941","$85,176,647"
"Nov 09, 2020",$3.48,$3.54,$3.27,$3.42,"$25,509,378","$83,719,562"
"Nov 10, 2020",$3.42,$3.64,$3.37,$3.59,"$24,316,551","$87,860,485"
