Date,Open*,High,Low,Close,Volume,Market Cap,
18-Sep-2020,$0.01,$0.02,$0.01,$0.016910,"$1,642,372",$0,
19-Sep-2020,$0.02,$0.03,$0.01,$0.027630,"$2,358,931",$0,
20-Sep-2020,$0.03,$0.03,$0.02,$0.019590,"$1,606,360",$0,
21-Sep-2020,$0.02,$0.02,$0.01,$0.015230,"$1,385,840",$0,
22-Sep-2020,$0.02,$0.02,$0.01,$0.018920,"$2,184,282",$0,
23-Sep-2020,$0.02,$0.02,$0.02,$0.018440,"$1,552,502",$0,
24-Sep-2020,$0.02,$0.02,$0.02,$0.021780,"$1,412,740",$0,
25-Sep-2020,$0.02,$0.02,$0.02,$0.019670,"$1,267,756",$0,
26-Sep-2020,$0.02,$0.02,$0.02,$0.018730,"$1,621,398",$0,
27-Sep-2020,$0.02,$0.02,$0.02,$0.018510,"$1,260,492",$0,
28-Sep-2020,$0.02,$0.02,$0.02,$0.017450,"$1,051,941",$0,
29-Sep-2020,$0.02,$0.02,$0.02,$0.015460,"$1,347,949",$0,
30-Sep-2020,$0.02,$0.02,$0.01,$0.014770,"$1,808,347",$0,
1-Oct-2020,$0.01,$0.02,$0.01,$0.013490,"$1,515,166",$0,
2-Oct-2020,$0.01,$0.01,$0.01,$0.013390,"$1,662,470",$0,
3-Oct-2020,$0.01,$0.01,$0.01,$0.012340,"$1,460,710",$0,
4-Oct-2020,$0.01,$0.01,$0.01,$0.011790,"$1,648,274",$0,
5-Oct-2020,$0.01,$0.01,$0.01,$0.010880,"$633,475",$0,
6-Oct-2020,$0.01,$0.01,$0.01,$0.009404,"$1,023,860",$0,
7-Oct-2020,$0.01,$0.01,$0.01,$0.008473,"$640,612",$0,
8-Oct-2020,$0.01,$0.01,$0.01,$0.007757,"$821,375",$0,
9-Oct-2020,$0.01,$0.01,$0.01,$0.008778,"$1,215,687",$0,
10-Oct-2020,$0.01,$0.01,$0.01,$0.009181,"$1,237,088",$0,
11-Oct-2020,$0.01,$0.01,$0.01,$0.008519,"$1,198,540",$0,
12-Oct-2020,$0.01,$0.01,$0.01,$0.008799,"$767,532",$0,
13-Oct-2020,$0.01,$0.01,$0.01,$0.009115,"$1,273,789",$0,
14-Oct-2020,$0.01,$0.01,$0.01,$0.008501,"$956,670",$0,
15-Oct-2020,$0.01,$0.01,$0.01,$0.007994,"$645,411",$0,
16-Oct-2020,$0.01,$0.01,$0.01,$0.007961,"$1,577,306",$0,
17-Oct-2020,$0.01,$0.01,$0.01,$0.007097,"$1,161,971",$0,
18-Oct-2020,$0.01,$0.01,$0.01,$0.006470,"$601,392",$0,
19-Oct-2020,$0.01,$0.01,$0.01,$0.005496,"$586,724",$0,
20-Oct-2020,$0.01,$0.01,$0.01,$0.005622,"$1,190,101",$0,
21-Oct-2020,$0.01,$0.01,$0.01,$0.005666,"$638,888",$0,
22-Oct-2020,$0.01,$0.01,$0.01,$0.005408,"$456,006",$0,
23-Oct-2020,$0.01,$0.01,$0.00,$0.005798,"$584,425",$0,
24-Oct-2020,$0.01,$0.01,$0.01,$0.006773,"$706,687",$0,
25-Oct-2020,$0.01,$0.01,$0.01,$0.006217,"$708,155",$0,
26-Oct-2020,$0.01,$0.01,$0.01,$0.005950,"$924,019",$0,
27-Oct-2020,$0.01,$0.01,$0.01,$0.005983,"$822,939",$0,
28-Oct-2020,$0.01,$0.01,$0.01,$0.006088,"$818,679",$0,
29-Oct-2020,$0.01,$0.01,$0.01,$0.006115,"$1,120,405",$0,
30-Oct-2020,$0.01,$0.01,$0.01,$0.006042,"$1,124,171",$0,
31-Oct-2020,$0.01,$0.01,$0.01,$0.005743,"$1,026,153",$0,
1-Nov-2020,$0.01,$0.01,$0.01,$0.005768,"$864,237",$0,
2-Nov-2020,$0.01,$0.01,$0.01,$0.005351,"$738,338",$0,
3-Nov-2020,$0.01,$0.01,$0.01,$0.005374,"$639,735",$0,
4-Nov-2020,$0.01,$0.01,$0.01,$0.005719,"$759,023",$0,
5-Nov-2020,$0.01,$0.01,$0.01,$0.006008,"$957,181",$0,
6-Nov-2020,$0.01,$0.01,$0.01,$0.005844,"$713,122",$0,
7-Nov-2020,$0.01,$0.01,$0.01,$0.005941,"$540,945",$0,
8-Nov-2020,$0.01,$0.01,$0.01,$0.006142,"$800,315",$0,
