Date,Open*,High,Low,Close,Volume,Market Cap
14-Aug-2020,$0.09,$0.09,$0.06,$0.07,"$118,988,161","$23,632,359"
15-Aug-2020,$0.07,$0.07,$0.05,$0.05,"$36,213,441","$26,778,693"
16-Aug-2020,$0.05,$0.07,$0.05,$0.06,"$33,023,213","$31,971,863"
17-Aug-2020,$0.06,$0.07,$0.05,$0.05,"$11,686,493","$28,373,546"
18-Aug-2020,$0.05,$0.06,$0.05,$0.05,"$7,401,293","$27,165,444"
19-Aug-2020,$0.05,$0.06,$0.05,$0.05,"$7,375,433","$27,373,102"
20-Aug-2020,$0.05,$0.06,$0.05,$0.05,"$7,332,475","$28,189,269"
21-Aug-2020,$0.05,$0.05,$0.04,$0.04,"$5,121,097","$23,242,949"
22-Aug-2020,$0.04,$0.05,$0.04,$0.05,"$4,347,394","$24,176,173"
23-Aug-2020,$0.05,$0.05,$0.04,$0.04,"$3,114,426","$23,123,186"
24-Aug-2020,$0.04,$0.05,$0.04,$0.05,"$7,868,186","$26,954,641"
25-Aug-2020,$0.05,$0.06,$0.05,$0.05,"$5,842,509","$25,263,427"
26-Aug-2020,$0.05,$0.06,$0.05,$0.06,"$8,339,238","$30,529,067"
27-Aug-2020,$0.06,$0.08,$0.05,$0.07,"$34,658,386","$38,804,140"
28-Aug-2020,$0.07,$0.08,$0.07,$0.07,"$25,598,530","$36,663,557"
29-Aug-2020,$0.07,$0.07,$0.07,$0.07,"$11,274,342","$38,172,776"
30-Aug-2020,$0.07,$0.07,$0.06,$0.07,"$9,422,027","$35,083,910"
31-Aug-2020,$0.07,$0.08,$0.07,$0.07,"$13,825,613","$36,949,276"
1-Sep-2020,$0.07,$0.07,$0.06,$0.06,"$14,081,069","$31,536,428"
2-Sep-2020,$0.06,$0.06,$0.05,$0.06,"$10,893,388","$31,099,613"
3-Sep-2020,$0.06,$0.06,$0.04,$0.04,"$5,884,472","$23,341,589"
4-Sep-2020,$0.04,$0.05,$0.04,$0.05,"$5,619,298","$24,157,825"
5-Sep-2020,$0.05,$0.05,$0.04,$0.04,"$4,072,606","$19,976,201"
6-Sep-2020,$0.04,$0.04,$0.03,$0.04,"$4,407,990","$21,761,711"
