Date,Open*,High,Low,Close,Volume,Market Cap
"Nov 18, 2021",$218.88,$222.88,$187.67,$195.49,"$3,911,214,658","$59,331,802,493"
"Nov 17, 2021",$219.30,$222.03,$210.03,$218.72,"$2,982,505,239","$66,373,496,998"
"Nov 16, 2021",$238.50,$238.50,$215.44,$219.24,"$3,557,977,024","$66,531,928,024"
"Nov 15, 2021",$238.73,$245.98,$235.10,$237.55,"$2,414,551,003","$72,029,066,276"
"Nov 14, 2021",$241.86,$242.04,$230.69,$238.43,"$1,705,211,600","$72,293,544,194"
"Nov 13, 2021",$228.60,$241.83,$225.08,$241.83,"$2,322,796,265","$73,293,750,861"
"Nov 12, 2021",$233.72,$238.70,$221.25,$228.50,"$3,022,054,714","$69,224,723,049"
"Nov 11, 2021",$233.91,$246.45,$229.75,$234.24,"$2,693,456,862","$70,963,380,125"
"Nov 10, 2021",$239.13,$247.95,$218.39,$233.78,"$3,873,202,098","$70,752,977,716"
"Nov 09, 2021",$248.36,$253.18,$237.90,$239.21,"$2,819,309,492","$72,397,587,680"
"Nov 08, 2021",$249.98,$253.25,$241.14,$248.47,"$3,344,410,176","$75,198,457,438"
"Nov 07, 2021",$258.78,$258.85,$246.12,$249.82,"$2,624,869,522","$75,574,730,065"
"Nov 06, 2021",$236.49,$260.06,$235.29,$258.93,"$3,869,779,683","$77,993,805,663"
"Nov 05, 2021",$247.27,$248.38,$231.16,$236.47,"$2,752,870,913","$71,196,323,358"
"Nov 04, 2021",$243.10,$250.47,$235.15,$247.39,"$4,440,296,290","$74,482,231,058"
"Nov 03, 2021",$221.08,$246.32,$216.20,$242.90,"$6,024,951,132","$73,130,864,696"
"Nov 02, 2021",$203.52,$222.23,$201.18,$220.24,"$3,020,087,232","$66,278,399,298"
"Nov 01, 2021",$202.63,$211.36,$198.24,$203.55,"$3,157,612,663","$61,255,124,967"
"Oct 31, 2021",$195.77,$205.16,$186.06,$202.42,"$2,577,364,486","$61,003,141,450"
"Oct 30, 2021",$200.23,$200.39,$187.82,$195.42,"$1,732,207,667","$58,865,399,788"
